	National product	Population growth rate	National product real growth rate	GDP - per capita (PPP)	Age structure	GDP - composition by sector	Radio broadcast stations	Sex ratio	Elevation extremes	Manpower fit for military service	Manpower reaching militarily significant age annually	Airports - with paved runways	Electricity - consumption	Airports	Birth rate	Coastline	Death rate	Exports	Roadways	Imports	Infant mortality rate	Inflation rate (consumer prices)	Labor force	Land boundaries	Life expectancy at birth	Literacy	Net migration rate	Population	Total fertility rate	Area	Telephones - main lines in use	Telephones - mobile cellular	Internet users	Oil - production	Oil - consumption	Oil - imports	Oil - exports	Median age	Natural gas - production	Natural gas - consumption	Natural gas - exports	Internet hosts	Current account balance	GDP (official exchange rate)	
National product	1.0	-0.129006218005	0.0118019704529	0.202184083667	0.217323256246	-0.148674236313	0.0596095608143	0.0296608956524	-0.092011333972	0.677691410443	0.60755631387	0.826002946183	0.950455754102	0.757847946152	-0.192296612156	0.211243916551	-0.00585717873425	0.850027811347	0.956590260649	0.921096617361	-0.164106463673	-0.081737691124	0.707091779938	0.221025935152	0.182414329	0.132506742361	0.0782901357989	0.680352920579	-0.164279332252	0.591190188974	0.902277858722	0.73210462836	0.929706608325	0.554541005521	0.971840824662	0.929221639942	0.245215167671	0.237633984513	0.646771736277	0.807860997291	0.18059435165	0.787757891893	-0.313712213605	0.967148286552	
Population growth rate	-0.129006218005	1.0	0.131063760487	-0.199797535892	-0.741372114798	0.392186036987	-0.12232696464	0.329717150798	0.0937800111166	-0.0381963491493	0.0136227625309	-0.0738970857965	-0.120978724832	-0.0449398462427	0.762588317968	-0.0785706548012	-0.132180085791	-0.196779330125	-0.100779804832	-0.19852149716	0.625024245609	0.150703154551	-0.0427964301856	0.0116121651865	-0.565954597156	-0.610360035712	0.444161608643	-0.0254303923311	0.750073161692	-0.0379823327165	-0.141936092357	-0.0717404620712	-0.125077009294	0.0223605331242	-0.107242623546	-0.161293960534	0.0536562952902	-0.731360735171	-0.0473922900807	-0.111711049858	-0.00413052204684	-0.0620579272939	0.000540544417862	-0.139516037796	
National product real growth rate	0.0118019704529	0.131063760487	1.0	-0.0483691081709	-0.139949861424	0.221691378308	0.0588339452268	-0.108902448213	0.185620849433	0.0853483177537	0.0926355654178	-0.0134861000988	0.0286652689186	-0.0142126968777	0.145551021033	-0.0254874105053	0.0223885274931	0.00743781275563	0.0105839836806	-0.0123313854625	0.150513757161	0.0196292652806	0.0892950116952	0.0589543991771	-0.184258093913	-0.0600068063217	0.081846068235	0.0879002776519	0.129862187155	0.00114837801973	0.0347967137455	0.0754779465329	0.0357989349548	-0.0129249930334	-0.00778089423446	-0.0256053272592	-0.0505706208799	-0.129954106331	0.0106032651279	-0.00958851090828	0.0148890839925	-0.0313964171438	0.0575516861884	-0.0211418014	
GDP - per capita (PPP)	0.202184083667	-0.199797535892	-0.0483691081709	1.0	0.537602423927	-0.685178788987	-0.0429447589961	0.0497799148617	-0.108044021929	-0.0552134471373	-0.0995954027588	0.176783331115	0.15062181726	0.156043959858	-0.602063457607	0.172139470114	-0.179917019751	0.379164925689	0.156721125567	0.363581774655	-0.598736758862	-0.320243292579	-0.0458754312151	0.0686258879637	0.62366990346	0.508442561906	0.506618055586	-0.0606492711814	-0.520116270372	0.0632589150696	0.123300259444	-0.0189610183415	0.12853381324	0.178163509522	0.2278859452	0.307870537847	0.250532008146	0.663348205846	0.218344090177	0.224983839889	0.302351142543	0.201451383251	0.0476031165767	0.267282786749	
Age structure	0.217323256246	-0.741372114798	-0.139949861424	0.537602423927	1.0	-0.533623989385	0.0991808626809	-0.382103621905	-0.129009295148	0.0126383192305	-0.0438091796672	0.16929771872	0.181654700738	0.123371800027	-0.782116776251	0.213442888976	0.237026028614	0.342043509208	0.188243036852	0.356514603563	-0.691317304829	-0.208974762951	0.0256378513465	0.0711018770341	0.669599689926	0.634568084809	0.0739245672859	0.00640070669577	-0.696235355848	0.113771342384	0.185841939101	0.0575488674696	0.180077522191	0.0167784113908	0.196760188182	0.301384919163	0.0104296205923	0.920981838122	0.14155036426	0.203816858261	0.154750654157	0.160071807924	-0.0581228185911	0.265662252586	
GDP - composition by sector	-0.148674236313	0.392186036987	0.221691378308	-0.685178788987	-0.533623989385	1.0	-0.00135897707968	0.0621565107822	0.0977821428965	0.0706695587663	0.137269422065	-0.114848075445	-0.119749692969	-0.107311231218	0.625367361899	-0.118466077206	0.120525044768	-0.284648353007	-0.100968357501	-0.264216937064	0.629511264165	0.341343730142	0.0608125444085	0.0172310596126	-0.593579511389	-0.592549704746	-0.237434977614	0.0860553144265	0.582516866399	-0.0571728288384	-0.111957904491	0.0334565705763	-0.0969009119256	-0.172668396999	-0.16634718463	-0.206891143841	-0.225025673664	-0.635322288829	-0.135526438621	-0.165531994505	-0.151870041448	-0.126246367942	-0.0468955564033	-0.19634533701	
Radio broadcast stations	0.0596095608143	-0.12232696464	0.0588339452268	-0.0429447589961	0.0991808626809	-0.00135897707968	1.0	-0.0710224305256	-0.0302243850976	0.0707579652104	0.0676845656798	0.0233324189731	0.0426420528771	0.0334565322134	-0.111030205909	0.0156474621997	0.0815201091549	0.0270920828156	0.062519576706	0.0474324092942	-0.0689636840047	0.011027976587	0.059798511473	-0.0364219070048	0.0371572197828	0.075091786515	0.00753509762066	0.0712527749533	-0.111548319305	0.0659656463072	0.0700665048094	0.0881241282038	0.0721059508634	0.00678196203469	0.0298664464898	0.0260733766011	-0.0157055411693	0.100116806045	0.0202887636859	0.0575302467159	-0.00199971684016	0.013278254978	-0.11507763142	0.0409433772735	
Sex ratio	0.0296608956524	0.329717150798	-0.108902448213	0.0497799148617	-0.382103621905	0.0621565107822	-0.0710224305256	1.0	-0.0713481744558	0.110041450714	0.122001829191	-0.0550121933423	0.0300494121524	-0.0206549955715	0.173010364945	-0.0119731525265	-0.543509634183	0.0343502810302	0.0156636715727	0.0160890927417	0.109862073422	-0.124195041387	0.0925482415978	0.0199381446949	0.0596992913063	-0.275174829989	0.0151155927133	0.102924296432	0.149854840126	-0.0789961514496	0.0311568770255	0.0673901275197	0.0445467041295	0.0880090788215	0.0430288852699	0.0187598307165	0.145213951558	-0.294081778641	-0.0582514344251	-0.0644107801516	-0.0683030612164	-0.0193363798075	0.0856901811313	0.00702979091869	
Elevation extremes	-0.092011333972	0.0937800111166	0.185620849433	-0.108044021929	-0.129009295148	0.0977821428965	-0.0302243850976	-0.0713481744558	1.0	-0.0765292235363	-0.0705485354113	-0.0666461607852	-0.0863651996226	-0.0560108050724	0.130136239368	-0.0514707150546	0.140449628557	-0.100980331685	-0.0768641635542	-0.0967229693944	0.179302658436	0.0754665103651	-0.076484843283	0.0664100514031	-0.213029819446	-0.00440695725856	0.0282642411589	-0.0767937407453	0.10423965373	-0.0667606893096	-0.0932880748957	-0.0869488661414	-0.0954432214565	-0.0833806807116	-0.0865613243453	-0.091163856509	-0.0854010012685	-0.120962083663	-0.0420316104636	-0.0621945010683	-0.00846584416225	-0.0481546908499	-0.0011337042766	-0.0844557104254	
Manpower fit for military service	0.677691410443	-0.0381963491493	0.0853483177537	-0.0552134471373	0.0126383192305	0.0706695587663	0.0707579652104	0.110041450714	-0.0765292235363	1.0	0.975687070049	0.278941082295	0.728389417601	0.19071042424	-0.0634084198908	0.117933361622	-0.0502476926928	0.573805804849	0.698601445141	0.545392965242	-0.00344415822677	0.0278342021732	0.990224358066	0.0384209722492	0.0330494566622	-0.0380064241226	0.0112438191458	0.996506315649	-0.066570504663	0.439071480736	0.782796704755	0.980059551406	0.778465440882	0.278190545184	0.537587317308	0.530557848529	0.109663004154	0.0499378179921	0.247421857528	0.307953486371	0.0477775011934	0.179531744556	0.0893202519469	0.492735190903	
Manpower reaching militarily significant age annually	0.60755631387	0.0136227625309	0.0926355654178	-0.0995954027588	-0.0438091796672	0.137269422065	0.0676845656798	0.122001829191	-0.0705485354113	0.975687070049	1.0	0.253392021347	0.616109620562	0.179703812664	0.00155191162278	0.106210306998	-0.039705207628	0.476504349717	0.669362799846	0.467079644107	0.0632962899808	0.0695308841552	0.94283578776	0.0409835240623	-0.0282114073951	-0.108563046492	0.00396551347528	0.986979298155	-0.00325020810959	0.403047534392	0.661410818942	0.963623813554	0.672105996683	0.250371889114	0.476566182663	0.479654191841	0.110362746862	-0.0181595561078	0.224596902976	0.274565493126	0.0355907688993	0.157939727214	0.0370011954586	0.426141460444	
Airports - with paved runways	0.826002946183	-0.0738970857965	-0.0134861000988	0.176783331115	0.16929771872	-0.114848075445	0.0233324189731	-0.0550121933423	-0.0666461607852	0.278941082295	0.253392021347	1.0	0.715805210814	0.93607035395	-0.115917036977	0.211552499183	0.0291977933974	0.581040290915	0.836698092558	0.7286619943	-0.116630153999	-0.0453024915373	0.29634529505	0.320958133238	0.106607932751	0.105738606962	0.0673219694754	0.298392418765	-0.0942288451969	0.590579816191	0.569599513741	0.372388269224	0.614348441333	0.6257067194	0.900383155397	0.789043118554	0.27818798557	0.150015723213	0.830112131373	0.929825178599	0.306229743609	0.951138741623	-0.621925448654	0.867218813555	
Electricity - consumption	0.950455754102	-0.120978724832	0.0286652689186	0.15062181726	0.181654700738	-0.119749692969	0.0426420528771	0.0300494121524	-0.0863651996226	0.728389417601	0.616109620562	0.715805210814	1.0	0.622013749663	-0.170043016016	0.211388227126	0.00150578493568	0.830608251261	0.880109769182	0.853071042786	-0.143521015378	-0.0673069885854	0.783361781057	0.201963030843	0.14514952656	0.125730301068	0.0600597452274	0.713962461444	-0.148785119328	0.612203155998	0.969141478603	0.747800780481	0.975265949132	0.528958354349	0.896843124016	0.826941998252	0.215462727243	0.205841946141	0.584363061245	0.705132947547	0.184572806372	0.648186523257	-0.158902051065	0.876697613721	
Airports	0.757847946152	-0.0449398462427	-0.0142126968777	0.156043959858	0.123371800027	-0.107311231218	0.0334565322134	-0.0206549955715	-0.0560108050724	0.19071042424	0.179703812664	0.93607035395	0.622013749663	1.0	-0.0901024408231	0.184490120168	-0.0135400796044	0.48184271843	0.795412222663	0.648203547399	-0.100176525192	-0.0337267143181	0.203766958679	0.346762618057	0.0982284189326	0.0952939342021	0.0572790678691	0.209144902879	-0.0742731546184	0.512355383181	0.48089060445	0.282560288982	0.541787015749	0.546701551741	0.85118072472	0.722609627456	0.208407893257	0.098803197724	0.704653437252	0.818753614156	0.169800476445	0.954895913664	-0.701256828198	0.821838264998	
Birth rate	-0.192296612156	0.762588317968	0.145551021033	-0.602063457607	-0.782116776251	0.625367361899	-0.111030205909	0.173010364945	0.130136239368	-0.0634084198908	0.00155191162278	-0.115917036977	-0.170043016016	-0.0901024408231	1.0	-0.149470631602	0.193234971086	-0.319415599225	-0.15183623457	-0.302911018431	0.88731615109	0.238470842577	-0.066154077288	-0.0370633587977	-0.849883190003	-0.769699748641	-0.162474334201	-0.0451382603381	0.981301548319	-0.0743649121297	-0.189018780339	-0.102597760217	-0.172364233811	-0.084663299544	-0.182631777554	-0.250308973694	-0.0983134408485	-0.912229670328	-0.142921347339	-0.180977449197	-0.157200436881	-0.102689273704	-0.0446059739548	-0.209974022503	
Coastline	0.211243916551	-0.0785706548012	-0.0254874105053	0.172139470114	0.213442888976	-0.118466077206	0.0156474621997	-0.0119731525265	-0.0514707150546	0.117933361622	0.106210306998	0.211552499183	0.211388227126	0.184490120168	-0.149470631602	1.0	-0.0125941920428	0.255906486327	0.25019611093	0.246025224898	-0.14616613001	-0.086583576688	0.125099379777	0.768527306633	0.162929205231	0.132385247148	0.0943704771985	0.122693056163	-0.12210554231	0.519940991333	0.193036813061	0.153719937276	0.179451746087	0.296670092271	0.22820056141	0.199958681451	0.238953206107	0.193680684633	0.338563229046	0.256632009768	0.485483777508	0.115265424374	-0.0775187811113	0.240897145784	
Death rate	-0.00585717873425	-0.132180085791	0.0223885274931	-0.179917019751	0.237026028614	0.120525044768	0.0815201091549	-0.543509634183	0.140449628557	-0.0502476926928	-0.039705207628	0.0291977933974	0.00150578493568	-0.0135400796044	0.193234971086	-0.0125941920428	1.0	-0.00666664899669	0.0152852741364	0.00932754954963	0.367299865751	0.0716371412604	-0.0297099008553	-0.0105490538696	-0.526929221644	-0.148053344064	-0.0289017115214	-0.0306318668474	0.246903570245	0.0611585833536	-0.0112995472077	-0.0288836073955	-0.0120092667108	-0.0987132056934	-0.0367406264161	-0.00154972800176	-0.145282255817	0.0548001934638	-0.00290227205714	0.0227159386441	0.00322956151559	0.0151807973327	-0.0568043797554	0.0105060792409	
Exports	0.850027811347	-0.196779330125	0.00743781275563	0.379164925689	0.342043509208	-0.284648353007	0.0270920828156	0.0343502810302	-0.100980331685	0.573805804849	0.476504349717	0.581040290915	0.830608251261	0.48184271843	-0.319415599225	0.255906486327	-0.00666664899669	1.0	0.735019049746	0.96285352571	-0.282816565879	-0.158711884809	0.619998557538	0.168735967619	0.310902365232	0.233664502691	0.156871060064	0.568069103348	-0.270122244927	0.508911607317	0.849099995891	0.628844050192	0.847413142839	0.482973492318	0.795370994206	0.842393231679	0.340760529228	0.405278390863	0.499509633419	0.654108314008	0.255701171974	0.520161236932	0.0738702778121	0.833523567589	
Roadways	0.956590260649	-0.100779804832	0.0105839836806	0.156721125567	0.188243036852	-0.100968357501	0.062519576706	0.0156636715727	-0.0768641635542	0.698601445141	0.669362799846	0.836698092558	0.880109769182	0.795412222663	-0.15183623457	0.25019611093	0.0152852741364	0.735019049746	1.0	0.834405770169	-0.121004402214	-0.0585599154569	0.704765006301	0.290468756386	0.132333744506	0.095260659843	0.07376031078	0.712198124119	-0.127911856064	0.639481653777	0.806445543734	0.761374944002	0.849860150575	0.543360961646	0.935173304962	0.879372327794	0.224209634235	0.188170667003	0.650108802876	0.783042620109	0.183696220309	0.793516302402	-0.429254306832	0.917980301694	
Imports	0.921096617361	-0.19852149716	-0.0123313854625	0.363581774655	0.356514603563	-0.264216937064	0.0474324092942	0.0160890927417	-0.0967229693944	0.545392965242	0.467079644107	0.7286619943	0.853071042786	0.648203547399	-0.302911018431	0.246025224898	0.00932754954963	0.96285352571	0.834405770169	1.0	-0.267881705556	-0.154339344808	0.57947647761	0.223879693254	0.301051452002	0.21773817723	0.137226373753	0.546875470559	-0.252836331138	0.489319675544	0.830336976521	0.608280664436	0.850098762603	0.462316678	0.891069061572	0.934996095578	0.256107486023	0.391044202145	0.554994280154	0.743152906003	0.196946038844	0.69747964156	-0.180056192934	0.925990183325	
Infant mortality rate	-0.164106463673	0.625024245609	0.150513757161	-0.598736758862	-0.691317304829	0.629511264165	-0.0689636840047	0.109862073422	0.179302658436	-0.00344415822677	0.0632962899808	-0.116630153999	-0.143521015378	-0.100176525192	0.88731615109	-0.14616613001	0.367299865751	-0.282816565879	-0.121004402214	-0.267881705556	1.0	0.211736855294	-0.00970540488633	-0.0145743933425	-0.887693698289	-0.805938990808	-0.137010209115	0.0151032936734	0.866628338335	-0.057626351286	-0.153416705698	-0.0452811979235	-0.142651240016	-0.109188371473	-0.167625503705	-0.215856480923	-0.127326702739	-0.806030096038	-0.139748433027	-0.169055946898	-0.15489300192	-0.108932667777	-0.0354484716439	-0.192420141593	
